"1","อ่านข่าว[DATE]วันนี้[/DATE]ให้ฟังหน่อย","2019-11-16 00:45:24"
"2","อ่านข่าว[DATE]เมื่อวาน[/DATE]ให้ฟังหน่อย","2019-11-16 00:45:24"
"3","อ่าน[TYPE]ข่าวการเมือง[/TYPE]ให้ฟังหน่อย","2019-11-16 00:45:24"
"4","อ่าน[TYPE]ข่าวกีฬา[/TYPE]ให้ฟังหน่อย","2019-11-16 00:45:24"
"5","อ่านข่าวเกี่ยวกับ[PERSON]นายก[/PERSON]ให้ฟังหน่อย","2019-11-16 00:45:24"
"6","อ่าน[EVENT]ข่าวภัยหนาว[/EVENT]","2019-11-16 00:45:24"
"7","อยากฟังข่าว[PERSON]นายก[/PERSON]จัง","2019-11-16 00:45:24"
"8","อยากฟังข่าว[TYPE]การเมืองไทย[/TYPE][DATE]วันนี้[/DATE]","2019-11-16 00:45:24"
"9","อ่าน[EVENT]ข่าวไฟไหม้[/EVENT]","2019-11-16 00:45:24"
"10","อ่าน[TYPE]ข่าวต่างประเทศ[/TYPE]","2019-11-16 00:45:24"
"11","อ่าน[TYPE]ข่าวเด่นประจำวัน[/TYPE]หน่อย","2019-11-16 00:45:24"
"12","อ่าน[EVENT]ข่าวหวย[/EVENT]หน่อย","2019-11-16 00:45:24"
"13","มี[TYPE]ข่าวดารา[/TYPE]อะไรบ้าง","2019-11-16 00:45:24"
"14","อ่าน[TYPE]ข่าวไอที[/TYPE]ให้ฟังหน่อย","2019-11-16 00:45:24"
"15","อ่าน[EVENT]ข่าวพระราชสำนัก[/EVENT]ให้ฟังหน่อย","2019-11-16 00:45:24"
"16","อยากฟัง[TYPE]ข่าวในหลวง[/TYPE]","2019-11-16 00:45:24"
"17","อ่านข่าว[DATE]วันนี้[/DATE]ให้ฟังหน่อย","2019-12-18 02:59:03"
"18","เปิด[TYPE]ข่าวสภาพอากาศ[/TYPE]ให้ฟังหน่อย","2019-12-24 12:45:14"
"19","อ่านข่าว[DATE]เมื่อวาน[/DATE]","2019-12-25 09:18:36"
"20","อ่านข่าว[ORG]พรรคเพื่อไทย[/ORG]ให้ฟังหน่อย","2019-12-25 23:27:21"
"21","อ่าน[TYPE]ข่าวพระราชสำนัก[/TYPE][DATE]วันนี้[/DATE]ให้ฟังหน่อย","2019-12-25 23:28:13"
"22","[TYPE]ข่าวบันเทิง[/TYPE][DATE]วันนี้[/DATE]มีอะไรบ้าง","2019-12-26 00:02:30"
"23","อ่าน[TYPE]ข่าวหวย[/TYPE]","2019-12-30 15:11:23"
"24","ฟัง[TYPE]ข่าวเด่นประจำวัน[/TYPE]","2020-01-02 20:21:43"
